Name,Coupon,ISIN,issue date,maturity date,2020/1/2,2020/1/3,2020/1/6,2020/1/7,2020/1/8,2020/1/9,2020/1/10,2020/1/13,2020/1/14,2020/1/15
CDA2020,1.50%,CA135087D929,2014/10/14,2020/3/1,99.85,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86
CDA 2020,0.75%,CA135087E596,2015/4/13,2020/9/1,99.26,99.28,99.28,99.27,99.28,99.28,99.28,99.27,99.28,99.3
CDA 2021,0.75%,CA135087F254,2015/10/19,2021/3/1,98.89,98.93,98.95,98.94,98.92,98.92,98.88,98.9,98.9,98.93
CDA 2021,0.75%,CA135087F585,2016/4/11,2021/9/1,98.41,98.45,98.49,98.46,98.46,98.43,98.43,98.38,98.41,98.42
CDA 2022,0.50%,CA135087G328,2016/10/11,2022/3/1,97.57,97.63,97.66,97.65,97.64,97.6,97.61,97.57,97.58,97.61
CDA 2022,2.75%,CA135087ZU15,2011/8/2,2022/6/1,102.53,102.59,102.62,102.59,102.58,102.52,102.52,102.46,102.47,102.51
CDA 2023,1.75%,CA135087H490,2017/10/6,2023/3/1,100.31,100.42,100.48,100.45,100.44,100.35,100.31,100.27,100.31,100.38
CDA 2023,1.50%,CA135087A610,2012/7/30,2023/6/1,99.48,99.59,99.65,99.61,99.62,99.54,99.53,99.44,99.49,99.56
CDA 2024,2.25%,CA135087J546,2018/10/5,2024/3/1,102.52,102.65,102.75,102.58,102.68,102.53,102.47,102.46,102.54,102.64
CDA 19/24,1.50%,CA135087J967,2019/4/5,2024/9/1,98.72,98.95,99.29,99.11,99.25,98.99,99.03,99.06,98.99,99.1
